SKU;Titel;Handle;URL;Merk;Soort;Prijs incl;Van-prijs;Eenheid;Voorraad;Collecties;Afbeelding
279975;Bookwill - Draai-asbak - 120mm - Glas - Chrome/Zwart;bookwill-draai-asbak-120mm-glas-chrome-zwart;https://rokersbenodigdheden.com/products/bookwill-draai-asbak-120mm-glas-chrome-zwart;Bookwill;Kokers & Etuis;12,95;;1 stuk;10;all|asbakken|kokers-etuis|merk-bookwill;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/279975_1_40.jpg?v=1778073328
279988;Bookwill - Klep-Asbak - 100mm - Chrome/Chrome;bookwill-klep-asbak-100mm-chrome-chrome;https://rokersbenodigdheden.com/products/bookwill-klep-asbak-100mm-chrome-chrome;Bookwill;Kokers & Etuis;6,95;;1 stuk;10;all|asbakken|kokers-etuis|merk-bookwill;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/279988.jpg?v=1778073327
279985;Bookwill - Klep-Asbak - 110mm - Ribbel Chrome;bookwill-klep-asbak-110mm-ribbel-chrome;https://rokersbenodigdheden.com/products/bookwill-klep-asbak-110mm-ribbel-chrome;Bookwill;Kokers & Etuis;6,50;;1 stuk;10;all|asbakken|kokers-etuis|merk-bookwill;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/279985_29.jpg?v=1778073326
330155;Bookwill Sigarettenkoker - 100mm - KS - Nikkel - 1 stuk;bookwill-sigarettenkoker-100mm-ks-nikkel-1-stuk;https://rokersbenodigdheden.com/products/bookwill-sigarettenkoker-100mm-ks-nikkel-1-stuk;Bookwill;Kokers & Etuis;21,95;;1 stuk;10;all|kokers-etuis|merk-bookwill|sigarettenkokers;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/330155_1_22.jpg?v=1778073331
426347;Champ - Asbak - Big Mouth (1 St.);champ-asbak-big-mouth-1-st;https://rokersbenodigdheden.com/products/champ-asbak-big-mouth-1-st;Champ;Kokers & Etuis;7,95;;1 stuk;10;all|asbakken|kokers-etuis|merk-champ;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426347-3.jpg?v=1778073470
426348;Champ - Asbak - Food Assortiment;champ-asbak-food-assortiment-display-12st;https://rokersbenodigdheden.com/products/champ-asbak-food-assortiment-display-12st;Champ;Kokers & Etuis;8,50;;1 stuk;10;all|asbakken|kokers-etuis|merk-champ;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426348.jpg?v=1778073467
426625;Champ - Auto-Asbak / Peuken-beker - Boss;champ-auto-asbak-peuken-beker-boss-display-6-st;https://rokersbenodigdheden.com/products/champ-auto-asbak-peuken-beker-boss-display-6-st;Champ;Kokers & Etuis;7,95;;1 stuk;10;all|asbakken|kokers-etuis|merk-champ;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426625-3.jpg?v=1778073602
426627;Champ - Auto-Asbak / Peuken-beker - Colours;champ-auto-asbak-peuken-beker-colours-display-6-st;https://rokersbenodigdheden.com/products/champ-auto-asbak-peuken-beker-colours-display-6-st;Champ;Kokers & Etuis;7,50;;1 stuk;10;all|asbakken|kokers-etuis|merk-champ;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426627-9.jpg?v=1778073615
426624;Champ - Auto-Asbak / Peuken-beker - LED;champ-auto-asbak-peuken-beker-led-display-6-st;https://rokersbenodigdheden.com/products/champ-auto-asbak-peuken-beker-led-display-6-st;Champ;Kokers & Etuis;6,95;;1 stuk;10;all|asbakken|kokers-etuis|merk-champ;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426624-11.jpg?v=1778073604
426022;Champ - Shag-zak - 160x90mm - Multicolor;champ-shag-zak-160x90mm-multicolor-display-12-stuks;https://rokersbenodigdheden.com/products/champ-shag-zak-160x90mm-multicolor-display-12-stuks;Champ;Kokers & Etuis;9,50;;1 stuk;10;all|kokers-etuis|merk-champ|rokersbenodigdheden|rolling-boxes;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426022.jpg?v=1778073382
426023;Champ - Shag-zak - 160x90mm - Zebraprint;champ-shag-zak-160x90mm-zebraprint-display-12-stuks;https://rokersbenodigdheden.com/products/champ-shag-zak-160x90mm-zebraprint-display-12-stuks;Champ;Kokers & Etuis;10,50;;1 stuk;10;all|kokers-etuis|merk-champ|rokersbenodigdheden|rolling-boxes;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426023-7.jpg?v=1778073383
426005;Champ - Shag-zak - 165x90mm - AC/DC;champ-shag-zak-165x90mm-ac-dc-display-12-stuks;https://rokersbenodigdheden.com/products/champ-shag-zak-165x90mm-ac-dc-display-12-stuks;Champ;Kokers & Etuis;14,50;;1 stuk;10;all|kokers-etuis|merk-champ|rokersbenodigdheden|rolling-boxes;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426005-3.jpg?v=1778073368
426360;Champ - Sigaretten-etui - Shiny;champ-sigaretten-etui-shiny-display-12-stuks;https://rokersbenodigdheden.com/products/champ-sigaretten-etui-shiny-display-12-stuks;Champ;Kokers & Etuis;5,95;;1 stuk;10;all|kokers-etuis|merk-champ;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426360-5.jpg?v=1778073484
426346;Champ - Sigaretten-tas - Croc Leather;champ-sigaretten-tas-croc-leather-display-12st;https://rokersbenodigdheden.com/products/champ-sigaretten-tas-croc-leather-display-12st;Champ;Kokers & Etuis;6,95;;1 stuk;10;all|kokers-etuis|merk-champ;https://cdn.shopify.com/s/files/1/0953/4033/1388/files/426346-6.jpg?v=1778073459
